I.D.,Question
QN_1,"i'll give you a speech like that, too."
QN_2,"i know, you're absolutely right."
QN_3,i liked it.
QN_4,the baby was eight pounds six ounces.
QN_5,I was sold a wireless service unavailable in my area.
QN_6,maybe four or five pounds?
QN_7, do you know hal
QN_8,"Yeah,actually a lot of them are."
QN_9,"if it's old age, why don't both of your hands hurt?"
QN_10,it's supposed to start at about eight.
QN_11,"hey, what's up?"
QN_12,Are you excited?
QN_13,What is the weather be like?
QN_14,not much.
QN_15,it was tomato soup.
QN_16,How did you enjoy a picnic?
QN_17,"the Celtic Shelf, the seabed under the Celtic Sea is a part of the continental shelf of what continent?"
QN_18,he will end the war.
QN_19,what's going on with you?
QN_20,"yes, it's better to get there too early than too late."
QN_21, what is the illuminati
QN_22,he's rude and he yells a lot.
QN_23,"me, too. i love them roasted and salted."
QN_24,"okay, mom, maybe i was picking it a little bit."
QN_25,i'm eating so much bread that i'm getting full.
QN_26,are there more fish or more people?
QN_27,have you attended school today?
QN_28,i enjoyed talking to you too.
QN_29, Which is better Windows or macOS?
QN_30,"he's old enough to be my father, yet he asked me out."
QN_31,you mean he could drown.
QN_32,"yes, the snow is fun."
QN_33,what husband?
QN_34,Do you know which account you want to take the money from?
QN_35, what is spiderman
QN_36,i wish i could afford first class seats.
QN_37,i thought you had an elephant in your house.
QN_38,"when he licks his lips, you know he has a good hand?"
QN_39, Are you ashamed
QN_40,i don't know anyone who likes it.
QN_41,Come and sit down.Would you like a drink?
QN_42,May I help you with something?
QN_43, what is mind children
QN_44,like what?
QN_45,"Thanks,but I'm still scared."
QN_46,I am so sick of dining hall food.
QN_47,are you feeling any better?
QN_48, Do not worry
QN_49,that's what everyone says.
QN_50,I would like to reserve The Hunger Games. 
QN_51, You can not feel
QN_52, how far is the sun
QN_53,they talk about other animals.
QN_54,let's go jogging.
QN_55,i understand. rain does make it smell cleaner.
QN_56,you shouldn't carry your keys and pens in your pocket.
QN_57,will you go and visit them?
QN_58,This looks like a nice table.
QN_59,"it's too far from your job, isn't it?"
QN_60, Do not lie
QN_61,so was i.
QN_62,i need a new computer.
QN_63,"i know, it does sound pretty awesome."
QN_64, we are on the same wavelength
QN_65,College is so boring.All I do is go to class.
QN_66,why?
QN_67,"well, i want to see ""the pursuit of happyness."""
QN_68,How much did you write it out for?
QN_69,what time?
QN_70,do you feel better now?
QN_71,"they make a lot of noise, but they don't give a close shave."
QN_72,I don't mind.Political science is really interesting to me.
QN_73,Do you go to college?
QN_74,"this friday? sorry, i already have plans."
QN_75, what is the stock market
QN_76,can you help me find a book on tigers?
QN_77,"you're right. one minute it's hot, and then the next minute it's cold."
QN_78,he drew two butterflies and a flower on a napkin in a restaurant.
QN_79,i'm still feeling under the weather.
QN_80,It was a pleasure seeing you
QN_81,i wish i had never started.
QN_82,You have not paid your late fees for your overdue books.
QN_83,Have you had any type of cold lately?
QN_84,You should go to a vocational school instead.
QN_85,because you need variety.
QN_86,to the state or the city?
QN_87,i'm not sleeping on that sheet.
QN_88,i voted for ralph nader.
QN_89,you have to change their diapers.
QN_90,Thank you! Have a good day!
QN_91,Would you like me to help you on your new project?
QN_92,Thanks
QN_93,i hate flying.
QN_94,"Oh,thatis not good.Is she at the hospital?"
QN_95, What is a super computer?
QN_96,i hate medication. it makes me feel different.
QN_97,i missed the tv news last night. what was on?
QN_98,how much money does he give away?
QN_99,our room was right next to the elevator and the ice machine.
QN_100,where do you live?
QN_101,every easter sunday he gives away money.
QN_102,How much?
QN_103,Can you speak Japanese?
QN_104,please don't be nosey.
QN_105,i've never heard him say please or thank you.
QN_106,they probably will.
QN_107,i'm sleepy.
QN_108,why do they call it the good old days?
QN_109, You can not experience
QN_110,I wanted to see if you were a liar or not.
QN_111,it wouldn't be good if it got cold this weekend.
QN_112,look in the fridge.
QN_113,what do you think it is?
QN_114, how much money
QN_115, It is a pleasure to meet you.
QN_116,do you know any good jokes?
QN_117,"i don't know, maybe one hundred."
QN_118,who's the greatest baseball player?
QN_119,i think golfers have a mental problem.
QN_120,i stood on the great wall and looked all around.
QN_121,Are they challenging?
QN_122,what are those wipes for?
QN_123,It is time for a change.
QN_124,deal or no deal
QN_125,they also ate with their fingers!
QN_126,"well, you'll have hot fresh food tomorrow night."
QN_127,"Okay,but I only have enough for three beers."
QN_128,so are mine.
QN_129,what did they do in the old days?
QN_130, you are frenetic
QN_131,what happened?
QN_132,i'll bet the car continued on its way.
QN_133,especially on a hot day like this.
QN_134,"no, i eat the same things day after day."
QN_135,i'm falling asleep on the phone.
QN_136,how was the weather?
QN_137, what does hal stand for
QN_138,did the cops find out why he flew into the u.s.?
QN_139,i can't wait until i graduate.
QN_140, you are disgusting
QN_141,that's not the attitude of a good driver.
QN_142,and watch your dvd.
QN_143,you mean i will smell the food cooking?
QN_144,what kind?
QN_145,Do you think they're old enough to eat kibble?
QN_146,not yet. it's been a week.
QN_147, you are an ass kisser
QN_148,"oh, no. our ashes will be shaken into the ocean."
QN_149,Where do you want the money to go to?
QN_150,i like to listen to rock and r&b.
QN_151,"well, you should buy pants with stronger pockets."
QN_152, What makes you mad
QN_153,they had fireplaces.
QN_154,a luxury car.
QN_155,why not?
QN_156,Do they have it in other colors?
QN_157,and it gives you money?
QN_158,Do you want another?
QN_159,that was a nice thing to say.
QN_160,they're all asking the same question.
QN_161,Why low heat?
QN_162,when exactly does the party start?
QN_163,but people still write poems.
QN_164,where did you go?
QN_165,i couldn't wait. it was an emergency.
QN_166,Which ride did you enjoy most?
QN_167,the husband said a fire department was nearby.
QN_168,that's very nice.
QN_169,"turn the radio down, please."
QN_170,"i mean, keep your belongings close to you."
QN_171,i really wish the weather would just stay the same.
QN_172, you sound like yoda
QN_173,"well, she'll probably just give me my invitation later on today."
QN_174,where do you go to watch people?
QN_175,What is your good name?
QN_176,are you really?
QN_177,why?
QN_178,why do you have to think about it?
QN_179,i bought lots of oranges and apples.
QN_180,i was not looking at her.
QN_181,i wish i was really smart.
QN_182,Are you okay?You look really sad.
QN_183,That restroom is really dirty.It smells like someone died in there.
QN_184,But I need it for my essay.
QN_185,why not?
QN_186,no rusty old cars are sitting in the front yards.
QN_187,that's not right!
QN_188,"i told her i had gotten the last two on the shelf, but i offered her one of mine."
QN_189, you are deranged
QN_190,i don't know.
QN_191,last month they told us about a mouse in a restaurant.
QN_192,"you were, too."
QN_193,Here you are. Enjoy your meal!
QN_194,that's six times a year!
QN_195,You missed out on a very important lecture.
