Answer	Question
Yes. It's absolutely beautiful today.	The weather is great isn't it?
yes, i like that one, too.	that one. the one that's all black.
it's really nice.	i got it from macy's.
at 8:00 p.m.	when does it start?
nothing, except my favorite color is blue.	what's the matter with green eyes?
 I have read just about everything in Project Gutenberg.	 have you ever read a book
 a fancy name for applied computer science in biology.	 what is bioinformatics
Sure, the changing rooms are over there.	Can I try it on?
I want it taken from my checking account.	Which account are you making this withdrawal from?
and you get to play with a lot of dogs.	that's the truth.
 A game with tall players.	 WHAT IS BASKETBALL
and then we can go to my home.	we can watch my dvd.
i will talk to your father about that.	i saw dad wipe his nose on his sleeve yesterday.
Thank you so much.	I can cancel it for you right now.
it's your girlfriend's fault. she should have warned you.	i'm sure everything will be okay in a day or two.
what have you been doing?	i've actually been busy lately.
it was a great game.	i wish i was free that night. i'm kind of mad that i didn't go.
I am fine	How are you doing today?
i'm not sure yet.	i'm going to the movies with a friend. how about you?
they are bites.	what are they?
 I am not capable of doing so.	 do you drink
i think stamps used to cost a penny.	the price of stamps goes up and up.
so do you think it'll be perfect weather for the beach?	the forecast says that it will be warm on the weekend.
It only takes half an hour.	How long is this bus ride?
It was very interesting. You should watch it.	How was the movie?
if the coffee still tastes okay, that's a good idea.	i mixed them together.
it wasn't that kind of emergency.	oh, really? maybe you should have called 911.
yes, but it gets colder as the sun goes down.	we'll get warmer as we walk.
why not?	i never used to buy swiss cheese.
what did you have for breakfast?	maybe. i'm not sure.
where did you lose it?	i lost my new pen.
for real?	you have no idea how happy i am for you.
i'm not being nosey. i'm just asking.	i have to do some things, and besides, it's not polite to be nosey.
they had fireplaces.	how did they survive in the old days?
an andy warhol drawing.	what is it this time?
why? i'm watching the original.	then you should watch the rerun.
that's why we need to save money.	but a house is so expensive.
i guess they haven't read this article.	then why does everyone lock their doors?
stress causes your stomachaches?	he thinks i have too much stress.
me, too. let's forget about germs and focus on food.	no, i'd rather not find out that it's dirty, because i'm pretty hungry right now.
it seems fine to me.	it's not comfortable.
 I once knew a program who could dream.  I don't know if he really did or not.  We've been a little out of touch.	 Tell me about your dreams
when did you get divorced?	no. i'm divorced.
I want to take out $300.	How much money would you like to withdraw?
you know what you did.	i don't have any idea.
none.	how many rich people do you know?
 Kevin said he then asked his mother why she was keeping napkins in the bathroom.	 did tell gossips to anybody
