Q,Prediction,A,Score
"i'll give you a speech like that, too.","i'll give you a speech like that, too.",do you think anyone will come to my funeral?,1.0
"i know, you're absolutely right.","i know, you're absolutely right.",i wish it would cool off one day.,1.0
i liked it.,i liked it.,"i'll give you a speech like that, too.",1.0
the baby was eight pounds six ounces.,the baby was 8 pounds 6 ounces.,that's good to hear.,0.8529411764705883
I was sold a wireless service unavailable in my area.,I was sold a wireless service unavailable in my area.,"I see it here,we charged you $5 extra a month.",1.0
maybe four or five pounds?,maybe four or five pounds?,my waist is bigger than it was.,1.0
 do you know hal, do you know hal," hal is the famous artificial intelligence from ""2001"".",1.0
"Yeah,actually a lot of them are.","Yeah,actually a lot of them are.",How does she act? ,1.0
"if it's old age, why don't both of your hands hurt?","if it's old age, why don't both of your hands hurt?",that's a good question. maybe it's not old age.,1.0
it's supposed to start at about eight.,it's supposed to start at about eight.,how many invitations has she given out?,1.0
"hey, what's up?","hey, what's up?",nothing really.,1.0
Are you excited?,Are you excited?,"Yes, I am very excited. I could not forget the picnic I had yesterday.",1.0
What is the weather be like?,What is the weather be like?,The weather is hot.,1.0
not much.,not much.,"this friday, i'm throwing a party.",1.0
it was tomato soup.,it was tomato soup.,that tasted so good.,1.0
How did you enjoy a picnic?,How did you enjoy a picnic?,It was really exciting. It was more enjoyable to me because I had never been to Garo Pahar.,1.0
"the Celtic Shelf, the seabed under the Celtic Sea is a part of the continental shelf of what continent?","the Celtic Shelf, the seabed under the Celtic Sea is a part of the continental shelf of what continent?", Europe,1.0
he will end the war.,he will end the war.,the next four years will be good years.,1.0
what's going on with you?,what's going on with you?,fine. what's going on with you?,1.0
"yes, it's better to get there too early than too late.","Yes, it's better to get there too early than too late.",I agree.,0.9814814814814815
 what is the illuminati, what is the illuminati, A secret organization believed by some to be in control of all governments through a worldwide conspiracy.,1.0
he's rude and he yells a lot.,he's rude and he yells a lot.,that's hard to take.,1.0
"me, too. i love them roasted and salted.","me, too. i love them roasted and salted.",i love boiled peanuts.,1.0
"okay, mom, maybe i was picking it a little bit.","okay, mom, maybe i was picking it a little bit.",use a tissue next time.,1.0
i'm eating so much bread that i'm getting full.,i'm eating so much bread that i'm getting full.,then stop eating the bread!,1.0
are there more fish or more people?,are there more fish or more people?,i think there are more fish.,1.0
have you attended school today?,have you attended school today?,i attended school today. did you?,1.0
i enjoyed talking to you too.,i enjoyed talking to you.,i enjoyed talking to you too.,0.9259259259259259
 Which is better Windows or macOS?, Which is better Windows or macOS?, I'd prefer to not hurt your feelings.,1.0
"he's old enough to be my father, yet he asked me out.","he's old enough to be my father, yet he asked me out.","well, you can't blame a man for asking.",1.0
you mean he could drown.,you mean he could drown.,he shouldn't scuba dive until he retires.,1.0
"yes, the snow is fun.","yes, the snow is fun.",last year we made a big snowman.,1.0
what husband?,what husband?,the husband of the driver who ran over two college students at 3 a.m.,1.0
Do you know which account you want to take the money from?,Do you know which account you want to take the money from?,From my savings account.,1.0
 what is spiderman, what is spiderman, a comic book story made into a movie.,1.0
i wish i could afford first class seats.,i wish i could afford first class seats.,doesn't everybody?,1.0
i thought you had an elephant in your house.,i thought you had an elephant in your house.,you're funny.,1.0
"when he licks his lips, you know he has a good hand?","when he licks his lips, you know he has a good hand?","i know he has a good hand, so i don't bet.",1.0
 Are you ashamed, Are you ashamed, Shame is a common emotion.,1.0
i don't know anyone who likes it.,i don't know anyone who likes it.,"some of it is okay, i guess.",1.0
Come and sit down.Would you like a drink?,Come and sit down.Would you like a drink?,"Oh, yes please! I'd love a gin and tonic.",1.0
May I help you with something?,May I help you with something? ,I would like to transfer some money.,0.9836065573770492
 what is mind children, what is mind children, It is a book about robots by Hans Moravec.,1.0
like what?,like what?,"he promised to hire 1,000 more police officers.",1.0
"Thanks,but I'm still scared.","Thanks,but I'm still scared.","Oh,hey!You should go to the job fair.",1.0
I am so sick of dining hall food.,I am so sick of dining hall food.,Me too!It is so unhealthy.,1.0
are you feeling any better?,are you feeling any better?,i'm still feeling a little sick.,1.0
 Do not worry, Do not worry, I do not worry.,1.0
that's what everyone says.,that's what everyone says.,it might as well be me.,1.0
I would like to reserve The Hunger Games. ,I would like to reserve The Hunger Games. ,Everyone wants to reserve that book these days.,1.0
 You can not feel, You can not feel," I am capable of acting as if I can.  If that is the case, does it matter?",1.0
 how far is the sun, how far is the sun, the sun is about 93 million miles from earth.,1.0
they talk about other animals.,they talk about other animals.,what else do they talk about?,1.0
let's go jogging.,Let's go jogging.,That's a good idea.,0.9411764705882354
i understand. rain does make it smell cleaner.,i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.,1.0
you shouldn't carry your keys and pens in your pocket.,you shouldn't carry your keys and pens in your pocket.,but that's what pockets are for.,1.0
will you go and visit them?,will you go and visit them?,of course i will.,1.0
This looks like a nice table.,This looks like a nice table.,"No, it's too close to the salad bar.",1.0
"it's too far from your job, isn't it?","it's too far from your job, isn't it?",i can't spend four hours on the road every day.,1.0
 Do not lie, Do not lie, I am not lying.,1.0
so was i.,so was i.,i had to bring work home with me.,1.0
i need a new computer.,i need a new computer.,what's the matter with yours?,1.0
"i know, it does sound pretty awesome.","i know, it does sound pretty awesome.","well, when does the party start?",1.0
 we are on the same wavelength, we are on the same wavelength, and the same frequency.,1.0
College is so boring.All I do is go to class.,College is so boring.All I do is go to class.,You should join some clubs.,1.0
why?,why?,because that gets the blood out of the shirt.,1.0
"well, i want to see ""the pursuit of happyness.""","well, i want to see ""the pursuit of happyness.""",what have you heard about it?,1.0
How much did you write it out for?,How much did you write it out for?,I wrote it out for $150.,1.0
what time?,what time?,it starts at 8 o'clock.,1.0
do you feel better now?,do you feel better now?,i don't really feel too well yet.,1.0
"they make a lot of noise, but they don't give a close shave.","they make a lot of noise, but they don't give a close shave.",maybe you should stop shaving.,1.0
I don't mind.Political science is really interesting to me.,I don't mind.Political science is really interesting to me.,You would be graduating a year late?,1.0
Do you go to college?,do you go to college?,"yes, i do.",0.9523809523809524
"this friday? sorry, i already have plans.","this friday? sorry, i already have plans.",doing what?,1.0
 what is the stock market, what is the stock market, trading shares.,1.0
can you help me find a book on tigers?,can you help me find a book on tigers?,"Yes,of course. ",1.0
"you're right. one minute it's hot, and then the next minute it's cold.","you're right. one minute it's hot, and then the next minute it's cold.",i really wish the weather would just stay the same.,1.0
he drew two butterflies and a flower on a napkin in a restaurant.,he drew two butterflies and a flower on a napkin in a restaurant.,did he sign it?,1.0
i'm still feeling under the weather.,i'm still feeling under the weather.,would you like anything for your stomach?,1.0
It was a pleasure seeing you,It was a pleasure seeing you,Yes for me also.,1.0
i wish i had never started.,i wish i had never started.,so does every smoker.,1.0
You have not paid your late fees for your overdue books.,You have not paid your late fees for your overdue books.,I never had any overdue books!,1.0
Have you had any type of cold lately?,Have you had any type of cold lately?,"No, I haven't had a cold. I just have a heavy feeling in my chest when I try to breathe.",1.0
You should go to a vocational school instead.,You should go to a vocational school instead.,I don't think you understand.,1.0
because you need variety.,because you need variety.,"what's ""variety?",1.0
to the state or the city?,to the state or the city?,"to the city, of course.",1.0
i'm not sleeping on that sheet.,i'm not sleeping on that sheet.,"well, just call the front desk. they'll give us new sheets.",1.0
i voted for ralph nader.,i voted for ralph nader.,who in the world is ralph nader?,1.0
you have to change their diapers.,you have to change their diapers.,i have to feed them.,1.0
Thank you! Have a good day!,Thank you! Have a good day!,Goodbye.,1.0
Would you like me to help you on your new project?,Would you like me to help you on your new project?,I would love the help! Would you prefer helping with the writing part or is programming more your thing?,1.0
Thanks,Thanks,Welcome,1.0
i hate flying.,i hate flying.,so do i.,1.0
